P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:25:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:25:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:26:02 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:26:06 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-6-LTG Details.dwg,E-6,12/22/2025 3:00:55 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-7-Panel Schedules.dwg,E-7,12/22/2025 3:00:58 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-8-Title-24.dwg,E-8,12/22/2025 3:01:06 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E00.00 Cover sheet.dwg,E00.00,12/22/2025 4:23:27 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E01.00 Power.dwg,E01.00,12/22/2025 4:23:34 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E02.00 Lighting.dwg,E02.00,12/22/2025 4:23:40 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E02.01 Lighting - Photometric Egress.dwg,E02.01,12/22/2025 4:23:44 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E03.00 Roof.dwg,E03.00,12/22/2025 4:23:48 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E04.00 Specification.dwg,E04.00,12/22/2025 4:23:52 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E05.00 Schedule and Details.dwg,E05.00,12/22/2025 4:24:02 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E06.00 SLD.dwg,E06.00,12/22/2025 4:24:07 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E07.00 Panel Schedules.dwg,E07.00,12/22/2025 4:24:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\241870 BofA, 3881 Alton Parkway Ste. B, Irvine, CA\Electrical\E08.00 Energy Compliance Forms.dwg,E08.00,12/22/2025 4:24:19 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E00.00 Cover sheet.dwg,E00.00,12/22/2025 5:04:41 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E01.00 Power.dwg,E01.00,12/22/2025 5:04:48 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E02.00 Lighting.dwg,E02.00,12/22/2025 5:04:54 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E04.00 Specification.dwg,E04.00,12/22/2025 5:04:58 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E05.00 Schedules.dwg,E05.00,12/22/2025 5:05:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E06.00 LTG Details.dwg,E06.00,12/22/2025 5:05:12 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/22/2025 5:05:16 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2025\251088 BofA - Puente Hills, 1605 S. Azusa Ave., Hacienda Heights, CA\Electrical\E08.00 Energy Compliance Forms.dwg,E08.00,12/22/2025 5:05:23 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\MBH\2025\251476 AAA, 7935 Blue Diamond Rd., Las Vegas, NV\Electrical\E0.0 General Information.dwg,E0.0,1/9/2026 4:17:54 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\MBH\2025\251476 AAA, 7935 Blue Diamond Rd., Las Vegas, NV\Electrical\E0.1 Specification.dwg,E0.1,1/9/2026 4:18:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\MBH\2025\251476 AAA, 7935 Blue Diamond Rd., Las Vegas, NV\Electrical\E0.2 Title 24.dwg,E0.2,1/9/2026 4:18:28 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\MBH\2025\251476 AAA, 7935 Blue Diamond Rd., Las Vegas, NV\Electrical\E1.0 Lighting.dwg,E1.0,1/9/2026 4:18:46 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\MBH\2025\251476 AAA, 7935 Blue Diamond Rd., Las Vegas, NV\Electrical\E2.0 Power.dwg,E2.0,1/9/2026 4:19:01 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
